127.0.0.1, 2018-10-11 07:03:52, GET, /, HTTP/1.1, 303, 0.004463
127.0.0.1, 2018-10-11 07:03:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.170510
127.0.0.1, 2018-10-11 07:03:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000487
127.0.0.1, 2018-10-11 07:03:52, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000432
127.0.0.1, 2018-10-11 07:03:52, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000822
127.0.0.1, 2018-10-11 07:03:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2018-10-11 07:03:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000397
127.0.0.1, 2018-10-11 07:03:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000529
127.0.0.1, 2018-10-11 07:03:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004470
127.0.0.1, 2018-10-11 07:03:52, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000954
127.0.0.1, 2018-10-11 07:03:52, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2018-10-11 07:03:53, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000489
127.0.0.1, 2018-10-11 07:03:53, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000808
127.0.0.1, 2018-10-11 07:03:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000416
127.0.0.1, 2018-10-11 07:03:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.021978
127.0.0.1, 2018-10-11 07:03:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000426
127.0.0.1, 2018-10-11 07:03:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000396
127.0.0.1, 2018-10-11 07:03:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000362
127.0.0.1, 2018-10-11 07:03:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000335
127.0.0.1, 2018-10-11 07:03:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000419
127.0.0.1, 2018-10-11 07:03:54, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000399
127.0.0.1, 2018-10-11 07:03:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000338
127.0.0.1, 2018-10-11 07:03:54, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001976
127.0.0.1, 2018-10-11 07:03:54, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000355
